RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
395169,55,"Tulsa, OK",Msa,OK,5749.0,5626.0,5746.0,5898.0,6091.0,6288.0,6458.0,6591.0,6531.0,6371.0,6041.0,5639.0,5335.0,5160.0,5204.0,5299.0,5390.0,5491.0,5528.0,5550.0,5435.0,5266.0,4998.0,4698.0,4472.0,4383.0,4517.0,4495.0,4534.0,4450.0,4403.0,4298.0,4124.0,4079.0,3888.0,3619.0,3350.0,3037.0,2991.0,2903.0,3042.0,3128.0,3296.0,3527.0
394619,56,"Fresno, CA",Msa,CA,1917.0,1881.0,2005.0,2149.0,2317.0,2429.0,2525.0,2602.0,2642.0,2667.0,2591.0,2453.0,2323.0,2264.0,2356.0,2448.0,2583.0,2685.0,2744.0,2774.0,2755.0,2728.0,2618.0,2418.0,2241.0,2127.0,2147.0,2104.0,2083.0,1983.0,1922.0,1835.0,1786.0,1753.0,1666.0,1515.0,1364.0,1269.0,1316.0,1387.0,1517.0,1631.0,1724.0,1779.0
395238,57,"Worcester, MA",Msa,MA,2894.0,2612.0,2645.0,2927.0,3350.0,3736.0,3933.0,4033.0,4074.0,4163.0,4029.0,3639.0,3162.0,2826.0,2823.0,3007.0,3407.0,3763.0,3931.0,3911.0,3876.0,3858.0,3680.0,3234.0,2793.0,2520.0,2562.0,2542.0,2651.0,2709.0,2760.0,2684.0,2562.0,2548.0,2380.0,2086.0,1749.0,1509.0,1531.0,1672.0,1896.0,2056.0,2132.0,2241.0
394415,58,"Stamford, CT",Msa,CT,5723.0,5324.0,5474.0,6370.0,7171.0,7756.0,7576.0,7386.0,7186.0,7047.0,6803.0,6211.0,5626.0,5396.0,5761.0,6357.0,7085.0,7541.0,7712.0,7470.0,7267.0,7094.0,6794.0,6130.0,5463.0,5232.0,5452.0,5478.0,5619.0,5800.0,6243.0,6262.0,6114.0,5857.0,5437.0,4753.0,4068.0,3522.0,3402.0,3474.0,3838.0,4068.0,4202.0,4183.0
394312,59,"Albuquerque, NM",Msa,NM,3819.0,3633.0,3709.0,3889.0,4155.0,4386.0,4531.0,4622.0,4581.0,4494.0,4272.0,3959.0,3633.0,3398.0,3413.0,3557.0,3750.0,3969.0,4108.0,4192.0,4121.0,4056.0,3885.0,3585.0,3264.0,3048.0,3080.0,3059.0,3138.0,3084.0,3088.0,2988.0,2920.0,2893.0,2762.0,2569.0,2320.0,2189.0,2157.0,2156.0,2223.0,2295.0,2437.0,2535.0
394308,60,"Albany, NY",Msa,NY,2675.0,2468.0,2482.0,2593.0,2824.0,3013.0,3193.0,3238.0,3255.0,3231.0,3144.0,2935.0,2705.0,2520.0,2508.0,2569.0,2768.0,2953.0,3089.0,3135.0,3152.0,3126.0,2980.0,2694.0,2416.0,2229.0,2180.0,2063.0,2064.0,2128.0,2279.0,2341.0,2336.0,2324.0,2199.0,1974.0,1754.0,1534.0,1447.0,1390.0,1477.0,1591.0,1701.0,1831.0
394938,61,"Omaha, NE",Msa,NE,3037.0,2908.0,3066.0,3292.0,3597.0,3853.0,4058.0,4188.0,4216.0,4176.0,4047.0,3722.0,3403.0,3124.0,3109.0,3255.0,3571.0,3873.0,4017.0,4094.0,4133.0,4172.0,4008.0,3650.0,3308.0,3137.0,3316.0,3441.0,3657.0,3633.0,3610.0,3424.0,3269.0,3145.0,2923.0,2590.0,2263.0,2007.0,2011.0,2178.0,2444.0,2664.0,2759.0,2869.0
394908,62,"New Haven, CT",Msa,CT,4078.0,3670.0,3608.0,3911.0,4313.0,4581.0,4589.0,4588.0,4543.0,4484.0,4276.0,3935.0,3580.0,3371.0,3472.0,3730.0,4099.0,4340.0,4442.0,4397.0,4289.0,4159.0,3891.0,3497.0,3135.0,2968.0,3040.0,2997.0,3025.0,3029.0,3153.0,3177.0,3183.0,3164.0,3014.0,2665.0,2314.0,1997.0,1948.0,1958.0,2162.0,2312.0,2486.0,2598.0
394357,63,"Bakersfield, CA",Msa,CA,2511.0,2554.0,2755.0,2965.0,3135.0,3298.0,3412.0,3534.0,3557.0,3526.0,3368.0,3129.0,2978.0,2890.0,2995.0,3067.0,3200.0,3322.0,3429.0,3491.0,3455.0,3405.0,3274.0,3065.0,2864.0,2752.0,2803.0,2799.0,2864.0,2829.0,2837.0,2782.0,2757.0,2688.0,2480.0,2214.0,1999.0,1870.0,1856.0,1858.0,1906.0,1939.0,2012.0,2149.0
394753,64,"Knoxville, TN",Msa,TN,4487.0,4333.0,4403.0,4572.0,4794.0,4931.0,5064.0,5174.0,5193.0,5122.0,4930.0,4635.0,4359.0,4189.0,4289.0,4427.0,4614.0,4731.0,4750.0,4757.0,4695.0,4697.0,4612.0,4383.0,4128.0,3888.0,3874.0,3808.0,3851.0,3791.0,3690.0,3484.0,3325.0,3333.0,3290.0,3112.0,2855.0,2600.0,2497.0,2386.0,2446.0,2539.0,2763.0,2937.0
